Nro.,Fecha,Valor de la UFV
411,15 de Febrero 2024,2.48063
412,16 de Febrero 2024,2.48076
413,17 de Febrero 2024,2.48089
414,18 de Febrero 2024,2.48102
415,19 de Febrero 2024,2.48115
416,20 de Febrero 2024,2.48128
417,21 de Febrero 2024,2.48141
418,22 de Febrero 2024,2.48154
419,23 de Febrero 2024,2.48167
420,24 de Febrero 2024,2.48180
421,25 de Febrero 2024,2.48193
422,26 de Febrero 2024,2.48206
423,27 de Febrero 2024,2.48219
424,28 de Febrero 2024,2.48232
425,29 de Febrero 2024,2.48245
426,1 de Marzo 2024,2.48257
427,2 de Marzo 2024,2.48269
428,3 de Marzo 2024,2.48281
429,4 de Marzo 2024,2.48293
430,5 de Marzo 2024,2.48305
431,6 de Marzo 2024,2.48317
432,7 de Marzo 2024,2.48329
433,8 de Marzo 2024,2.48341
434,9 de Marzo 2024,2.48353
435,10 de Marzo 2024,2.48365
436,11 de Marzo 2024,2.48382
437,12 de Marzo 2024,2.48399
438,13 de Marzo 2024,2.48416
439,14 de Marzo 2024,2.48433
440,15 de Marzo 2024,2.48450
441,16 de Marzo 2024,2.48467
442,17 de Marzo 2024,2.48484
443,18 de Marzo 2024,2.48501
444,19 de Marzo 2024,2.48518
445,20 de Marzo 2024,2.48535
446,21 de Marzo 2024,2.48552
447,22 de Marzo 2024,2.48569
448,23 de Marzo 2024,2.48586
449,24 de Marzo 2024,2.48603
450,25 de Marzo 2024,2.48620
451,26 de Marzo 2024,2.48637
452,27 de Marzo 2024,2.48654
453,28 de Marzo 2024,2.48671
454,29 de Marzo 2024,2.48688
455,30 de Marzo 2024,2.48705
456,31 de Marzo 2024,2.48722
457,1 de Abril 2024,2.48739
458,2 de Abril 2024,2.48756
459,3 de Abril 2024,2.48773
460,4 de Abril 2024,2.48790
461,5 de Abril 2024,2.48807
462,6 de Abril 2024,2.48824
463,7 de Abril 2024,2.48841
464,8 de Abril 2024,2.48858
465,9 de Abril 2024,2.48875
466,10 de Abril 2024,2.48892
467,11 de Abril 2024,2.48913
468,12 de Abril 2024,2.48934
469,13 de Abril 2024,2.48955
470,14 de Abril 2024,2.48976
471,15 de Abril 2024,2.48997
472,16 de Abril 2024,2.49018
473,17 de Abril 2024,2.49039
474,18 de Abril 2024,2.49060
475,19 de Abril 2024,2.49081
476,20 de Abril 2024,2.49102
477,21 de Abril 2024,2.49123
478,22 de Abril 2024,2.49144
479,23 de Abril 2024,2.49165
480,24 de Abril 2024,2.49186
481,25 de Abril 2024,2.49207
482,26 de Abril 2024,2.49228
483,27 de Abril 2024,2.49249
484,28 de Abril 2024,2.49270
485,29 de Abril 2024,2.49291
486,30 de Abril 2024,2.49312
487,1 de Mayo 2024,2.49332
488,2 de Mayo 2024,2.49352
489,3 de Mayo 2024,2.49372
490,4 de Mayo 2024,2.49392
491,5 de Mayo 2024,2.49412
492,6 de Mayo 2024,2.49432
493,7 de Mayo 2024,2.49452
494,8 de Mayo 2024,2.49472
495,9 de Mayo 2024,2.49492
496,10 de Mayo 2024,2.49512
497,11 de Mayo 2024,2.49535
498,12 de Mayo 2024,2.49558
499,13 de Mayo 2024,2.49581
500,14 de Mayo 2024,2.49604
501,15 de Mayo 2024,2.49627
502,16 de Mayo 2024,2.49650
503,17 de Mayo 2024,2.49673
504,18 de Mayo 2024,2.49696
505,19 de Mayo 2024,2.49719
506,20 de Mayo 2024,2.49742
507,21 de Mayo 2024,2.49765
508,22 de Mayo 2024,2.49788
509,23 de Mayo 2024,2.49811
510,24 de Mayo 2024,2.49834
511,25 de Mayo 2024,2.49857
512,26 de Mayo 2024,2.49880
513,27 de Mayo 2024,2.49903
514,28 de Mayo 2024,2.49926
515,29 de Mayo 2024,2.49949
516,30 de Mayo 2024,2.49972
